url,dir
"https://tr.wikipedia.org/wiki/S%C3%BCp%C3%BCrt%C3%BC,_%C4%B0neg%C3%B6l",0
https://tr.wikipedia.org/w/index.php?title=Birinci_%C4%B0n%C3%B6n%C3%BC_Muharebesi&action=edit&section=3,1
https://tr.wikipedia.org/wiki/%C5%9Eablon_tart%C4%B1%C5%9Fma:T%C3%BCrk_Kurtulu%C5%9F_Sava%C5%9F%C4%B1_cepheleri,2
https://tr.wikipedia.org/w/index.php?title=Birinci_%C4%B0n%C3%B6n%C3%BC_Muharebesi&printable=yes,3
https://tr.wikipedia.org/wiki/Birinci_%C4%B0n%C3%B6n%C3%BC_Muharebesi,4
https://tr.wikipedia.org/w/index.php?title=Birinci_%C4%B0n%C3%B6n%C3%BC_Muharebesi&veaction=edit&section=6,5
https://tr.wikipedia.org/w/index.php?title=Birinci_%C4%B0n%C3%B6n%C3%BC_Muharebesi&veaction=edit&section=8,6
https://tr.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,7
https://tr.wikipedia.org,8
