url,cluster
"https://tr.wikipedia.org/wiki/S%C3%BCp%C3%BCrt%C3%BC,_%C4%B0neg%C3%B6l",yer
https://tr.wikipedia.org/w/index.php?title=Birinci_%C4%B0n%C3%B6n%C3%BC_Muharebesi&action=edit&section=3,edit
https://tr.wikipedia.org/wiki/%C5%9Eablon_tart%C4%B1%C5%9Fma:T%C3%BCrk_Kurtulu%C5%9F_Sava%C5%9F%C4%B1_cepheleri,savaþ
https://tr.wikipedia.org/w/index.php?title=Birinci_%C4%B0n%C3%B6n%C3%BC_Muharebesi&printable=yes,savaþ
https://tr.wikipedia.org/wiki/Birinci_%C4%B0n%C3%B6n%C3%BC_Muharebesi,savaþ
https://tr.wikipedia.org/w/index.php?title=Birinci_%C4%B0n%C3%B6n%C3%BC_Muharebesi&veaction=edit&section=6,edit2
https://tr.wikipedia.org/w/index.php?title=Birinci_%C4%B0n%C3%B6n%C3%BC_Muharebesi&veaction=edit&section=8,edit2
https://tr.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,kiþi
https://tr.wikipedia.org,anasayfa
